Date,Scnt
21/09/2021,57
20/09/2021,67
19/09/2021,22
18/09/2021,32
17/09/2021,55
16/09/2021,34
15/09/2021,78
14/09/2021,75
13/09/2021,62
12/09/2021,29
11/09/2021,40
10/09/2021,40
09/09/2021,58
08/09/2021,44
07/09/2021,34
06/09/2021,50
05/09/2021,26
04/09/2021,14
03/09/2021,47
02/09/2021,40
01/09/2021,43
31/08/2021,25
30/08/2021,46
29/08/2021,23
28/08/2021,17
27/08/2021,25
26/08/2021,45
25/08/2021,46
24/08/2021,36
23/08/2021,26
22/08/2021,11
21/08/2021,9
20/08/2021,13
19/08/2021,10
18/08/2021,21
17/08/2021,28
16/08/2021,18
15/08/2021,8
14/08/2021,5
13/08/2021,8
12/08/2021,14
11/08/2021,11
10/08/2021,17
09/08/2021,13
08/08/2021,11
07/08/2021,5
06/08/2021,9
05/08/2021,12
04/08/2021,8
03/08/2021,14
02/08/2021,15
01/08/2021,11
31/07/2021,2
30/07/2021,19
29/07/2021,5
28/07/2021,14
27/07/2021,16
26/07/2021,15
25/07/2021,7
24/07/2021,11
23/07/2021,25
22/07/2021,16
21/07/2021,5
20/07/2021,6
19/07/2021,16
18/07/2021,22
17/07/2021,14
16/07/2021,4
15/07/2021,12
14/07/2021,19
13/07/2021,11
12/07/2021,23
11/07/2021,11
10/07/2021,9
09/07/2021,22
08/07/2021,8
07/07/2021,17
06/07/2021,14
05/07/2021,22
04/07/2021,11
03/07/2021,7
02/07/2021,16
01/07/2021,28
30/06/2021,19
29/06/2021,32
28/06/2021,26
27/06/2021,12
26/06/2021,13
25/06/2021,12
24/06/2021,6
